,CWD_Status,Case_ID,Province,Sex,Species
8422,Negative,8506,Alberta,Female,White-tailed Deer
8423,Negative,8507,Alberta,Female,White-tailed Deer
8424,Negative,8508,Alberta,Female,White-tailed Deer
8425,Negative,8509,Alberta,Female,White-tailed Deer
8426,Negative,8510,Alberta,Female,White-tailed Deer
8427,Negative,8511,Alberta,Female,White-tailed Deer
8428,Negative,8512,Alberta,Female,White-tailed Deer
8429,Negative,8513,Alberta,Female,White-tailed Deer
8430,Negative,9767,Alberta,Female,White-tailed Deer
8431,Negative,9768,Alberta,Female,White-tailed Deer
8432,Negative,9769,Alberta,Female,White-tailed Deer
8433,Negative,9770,Alberta,Female,White-tailed Deer
8434,Negative,9771,Alberta,Female,White-tailed Deer
8435,Negative,9772,Alberta,Female,White-tailed Deer
8436,Negative,9773,Alberta,Female,White-tailed Deer
8437,Negative,9774,Alberta,Female,White-tailed Deer
8438,Negative,9775,Alberta,Female,White-tailed Deer
8439,Negative,9776,Alberta,Female,White-tailed Deer
8440,Negative,9777,Alberta,Female,White-tailed Deer
8441,Negative,9778,Alberta,Female,White-tailed Deer
8442,Negative,9779,Alberta,Female,White-tailed Deer
8443,Negative,9780,Alberta,Female,White-tailed Deer
8444,Negative,9781,Alberta,Female,White-tailed Deer
8445,Negative,9782,Alberta,Female,White-tailed Deer
8446,Negative,9783,Alberta,Female,White-tailed Deer
8447,Negative,9784,Alberta,Female,White-tailed Deer
8448,Negative,9785,Alberta,Female,White-tailed Deer
8449,Negative,9786,Alberta,Female,White-tailed Deer
8450,Negative,9787,Alberta,Female,White-tailed Deer
8451,Negative,9788,Alberta,Female,White-tailed Deer
8452,Negative,9789,Alberta,Female,White-tailed Deer
8453,Negative,9790,Alberta,Female,White-tailed Deer
8454,Negative,9791,Alberta,Female,White-tailed Deer
8455,Negative,9792,Alberta,Female,White-tailed Deer
8456,Negative,9793,Alberta,Female,White-tailed Deer
8457,Negative,9794,Alberta,Female,White-tailed Deer
8458,Negative,9795,Alberta,Female,White-tailed Deer
8459,Negative,9796,Alberta,Female,White-tailed Deer
8460,Negative,9797,Alberta,Female,White-tailed Deer
8461,Negative,9798,Alberta,Female,White-tailed Deer
8462,Negative,9799,Alberta,Female,White-tailed Deer
8463,Negative,9800,Alberta,Female,White-tailed Deer
