Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
30114,Saskatchewan,Hunter,2005-11-24 0:00,11,2005,580616.873,5834003.555,Mule Deer,Male,Negative
30115,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,583435.5322,5834050.98,Mule Deer,Female,Negative
30116,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,580329.9151,5834307.871,Mule Deer,Female,Negative
30117,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,580329.9151,5834307.871,Mule Deer,Female,Negative
30118,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,585118.6294,5834543.667,Mule Deer,Female,Negative
30119,Saskatchewan,Hunter,2005-12-01 0:00,12,2005,602585.8284,5835189.092,Mule Deer,Female,Negative
30120,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,582856.0442,5834968.269,Mule Deer,Female,Negative
30121,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,574401.6349,5834831.874,Mule Deer,Female,Negative
30122,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,588774.0695,5835072.473,Mule Deer,Female,Negative
30123,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,574119.8196,5834827.58,Mule Deer,Female,Negative
30124,Saskatchewan,Hunter,2005-11-07 0:00,11,2005,574401.6349,5834831.874,Mule Deer,Female,Negative
30125,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,578910.6655,5834902.792,Mule Deer,Male,Negative
30126,Saskatchewan,Hunter,2005-11-13 0:00,11,2005,588774.0695,5835072.473,Mule Deer,Female,Negative
30127,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,582856.0442,5834968.269,Mule Deer,Male,Negative
30128,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,578910.6655,5834902.792,Mule Deer,Female,Negative
30129,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,578910.6655,5834902.792,Mule Deer,Female,Negative
30130,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,579753.5776,5835071.039,Mule Deer,Female,Negative
30131,Saskatchewan,Hunter,2005-11-25 0:00,11,2005,586795.8973,5835345.907,Mule Deer,Male,Negative
30132,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,580406.0226,5835390.814,Mule Deer,Female,Negative
30133,Saskatchewan,Hunter,2005-11-23 0:00,11,2005,584936.0017,5835754.779,Mule Deer,Female,Negative
30134,Saskatchewan,Hunter,2005-11-22 0:00,11,2005,584936.0017,5835754.779,Mule Deer,Female,Negative
30135,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,572460.9838,5836133.986,Mule Deer,Female,Negative
30136,Saskatchewan,Hunter,2005-11-01 0:00,11,2005,574939.1247,5836539.857,Mule Deer,Female,Negative
